title,DOI,year,screening-phase,decision,exclusion_reason,other_comments,source_database,duplicate_info,authors,abstract,url,venue
DMPNet: A lightweight remote sensing forest wildfire detection network based on multi-scale heterogeneous attention mechanism and dynamic scaling fusion strategy,10.1016/j.dsp.2025.105252,2025,t,x,X4,forest fire detection,ACM,,"Long, Yingping; Ding, Hongwei; Zhu, Yuanjing; Yang, Zhijun; Li, Bo",,https://doi.org/10.1016/j.dsp.2025.105252,Digit. Signal Process.
A Real-time Cooperative Optimization System for Photography Parameters Based on SNN Low-Power Margin Calculation,10.1145/3770445.3770496,2025,f,x,"X1,X4",No hint to uav detection,ACM,,"Hua, Peng","Industrial inspection and multimedia applications demand urgent improvements in energy efficiency and multi-device coordination for real-time image acquisition. Addressing the low efficiency and slow response of existing photographic parameter optimization schemes, this research proposes a real-time collaborative optimization system based on low-power computation via spiking neural networks. The system employs an event-driven spiking neural network architecture to process visual information, significantly reducing computational energy consumption. Combined with a low-power edge computing model, it enables dynamic management of energy budgets. Through a distributed collaborative decision-making mechanism, it supports real-time parameter negotiation and consistent adjustments across multiple devices. Test results demonstrate that the system reduces power consumption by 62.5% compared to traditional approaches in typical scenarios, while maintaining the parameter differences among multiple devices within 0.3 EV. This effectively enhances the energy efficiency and collaborative performance of photographic systems in complex environments, providing a viable technical solution for practical applications in distributed visual systems.",https://doi.org/10.1145/3770445.3770496,Proceedings of the 2025 International Conference on Generative AI and Digital Media Arts
Neuromorphic event-based recognition boosted by motion-aware learning,10.1016/j.neucom.2025.129678,2025,f,x,X4,,ACM,,"Liu, Yuhan; Deng, Yongjian; Xie, Bochen; Liu, Hai; Yang, Zhen; Li, Youfu",,https://doi.org/10.1016/j.neucom.2025.129678,Neurocomput.
A sequential learning algorithm for a spiking neural classifier,10.1016/j.asoc.2015.06.062,2015,f,x,X4,No hint to uav detection,ACM,,"Dora, S.; Suresh, S.; Sundararajan, N.","Graphical abstractOverview of the sequential learning algorithm for a spiking neural classifier. SLSNC consists of a two layered fully connected spiking neural network and a separate decision block. The input layer in the neural network encodes the presented real valued features into spike patterns consisting of varying amplitude and firing times. These spike patterns generated by the input layer neurons is the presynaptic input for the intermediate neurons which are modelled as 'Integrate-and-Fire' neurons. The decision block intercepts the output of the intermediate neurons and estimates the predicted class label according to the neuron which fires first. Display Omitted HighlightsLSNC automatically evolves the architecture.Real valued data is encoded using a 2-D encoding having spike amplitude and time.Sequential learning algorithm developed for SLSNC.Learning algorithm relies on computationally inexpensive operations. This paper presents a biologically inspired, sequential learning spiking neural classifier (SLSNC) for pattern classification problems. It consists of a two layered neural network and a separate decision block which estimates the predicted class label. Inspired by observations in the neuroscience literature, the input layer employs a new neuron model which converts real valued stimuli into spikes with varying amplitudes and firing times. The intermediate layer neurons are modeled as integrate-and-fire spiking neurons. The decision block identifies that intermediate neuron which fires first and returns the class label associated with that neuron as the predicted class label. The sequential learning algorithm for the spiking neural network automatically determines the network structure from the training samples and adapts its synaptic weights by long term potentiation and long term depression. Performance of SLSNC has been evaluated using a number of benchmark classification problems and the results have been compared with other well-known spiking neural network classifiers in the literature as well as with the standard support vector machine (SVM) with a Gaussian kernel and the fast learning Extreme Learning Machine (ELM) classifiers. The results clearly indicate that the described spiking neural network produces similar or better generalization performance with a smaller network.",https://doi.org/10.1016/j.asoc.2015.06.062,Appl. Soft Comput.
Drone-assisted automated plant diseases identification using spiking deep conventional neural learning,10.3233/AIC-210009,2021,t,x,X4,wrong detection task → plant disease detection,ACM,,"Demir, Kubilay; Tümen, Vedat","Detection and diagnosis of the plant diseases in the early stage significantly minimize yield losses. Image-based automated plant diseases identification (APDI) tools have started to been widely used in pest managements strategies. The current APDI systems rely on images captured in laboratory conditions, which hardens the usage of the APDI systems by smallholder farmers. In this study, we investigate whether the smallholder farmers can exploit APDI systems using their basic and cheap unmanned autonomous vehicles (UAVs) with standard cameras. To create the tomato images like the one taken by UAVs, we build a new dataset from a public dataset by using image processing tools. The dataset includes tomato leaf photographs separated into 10 classes (diseases or healthy). To detect the diseases, we develop a new hybrid detection model, called SpikingTomaNet, which merges a novel deep convolutional neural network model with spiking neural network (SNN) model. This hybrid model provides both better accuracy rates for the plant diseases identification and more energy efficiency for the battery-constrained UAVs due to the SNN’s event-driven architecture. In this hybrid model, the features extracted from the CNN model are used as the input layer for SNNs. To assess our approach’s performance, firstly, we compare the proposed CNN model inside the developed hybrid model with well-known AlexNet, VggNet-5 and LeNet models. Secondly, we compare the developed hybrid model with three hybrid models composed of combinations of the well-known models and SNN model. To train and test the proposed neural network, 32022 images in the dataset are exploited. The results show that the SNN method significantly increases the success, especially in the augmented dataset. The experiment result shows that while the proposed hybrid model provides 97.78% accuracy on original images, its success on the created datasets is between 59.97%–82.98%. In addition, the results shows that the proposed hybrid model provides better overall accuracy in the classification of the diseases in comparison to the well-known models and LeNet and their combination with SNN.",https://doi.org/10.3233/AIC-210009,AI Commun.
Oppositional poor and rich optimization with deep learning enabled secure internet of drone communication system,10.1016/j.compeleceng.2022.108368,2022,a,x,X4,intrusion detection in drone communication,ACM,,"Al-Wesabi, Fahd N.; Alrowais, Fadwa; Alzahrani, Jaber S.; Marzouk, Radwa; Al Duhayyim, Mesfer; alkhayyat, Ahmed; Gupta, Deepak",,https://doi.org/10.1016/j.compeleceng.2022.108368,Comput. Electr. Eng.
Towards an Energy-Efficient and Sustainable IIoT using Embedded Neuromorphic AI,10.1145/3770501.3770529,2025,f,x,X4,,ACM,,"Azadi, Behrooz; Anzengruber-Tanase, Bernhard; Sopidis, Georgios; Haslgrübler, Michael; Ferscha, Alois","Leveraging AI hardware, such as GPUs and NPUs, in the Industrial Internet of Things continues to grow, and therefore, the number of IoT devices is increasing. While this growth provides computational advantages, it also creates a major challenge: these devices consume significant amounts of energy. Neuromorphic hardware offers a promising alternative, with the potential for much lower energy consumption and inference latency compared to GPU-based computing. Throughout this study, we investigate this claim and compare the energy consumption and inference latency of BrainChip Akida and NVIDIA Orin NX. Our results indicate that the quantized model runs faster on the Akida than on the Orin for inference, with an average of 22.54 seconds compared to 181.66 seconds for 10k test samples from the MNIST dataset, respectively. Furthermore, the measured active power and, therefore, energy consumption associated with Akida during idle time are considerably lower than that of NVIDIA Orin. Additionally, our uncontrolled long-term monitoring confirms that the neuromorphic hardware consumes significantly lower energy over 25 days, with an average active power of 4.36 W compared to 9.17 W and energy consumption of 2.6 kWh compared to 5.5 kWh.",https://doi.org/10.1145/3770501.3770529,Proceedings of the 15th International Conference on the Internet of Things
Invited: Neuromorphic Vision Modalities in the NimbleAI 3D Chip,10.1145/3649329.3689622,2024,f,x,X4,,ACM,,"Iturbe, Xabier; Linares-Barranco, Bernabe; Ieng, Sio-Hoi; Erdmann, Arne; Peres, Luca; Rhodes, Oliver; Tornero, Rafael; Sifalakis, Manolis; Burgwal, Marcel van de; Yousefzadeh, Amirreza; Kooli, Maha; Alidori, Riccardo; Zaykov, Pavel","This paper provides an overview of the ongoing work to enable novel modalities of passive monocular neuromorphic vision in the NimbleAI sensing-processing architecture; namely, foveated and light-field event-driven vision with selective visual attention. The latter vision modality encodes 3D visual surroundings as sparse visual events in a 4D spatiotemporal domain, adding depth to current representation of visual information delivered by Dynamic Vision Sensors (DVS). The NimbleAI architecture implements hardware support for efficient execution of mainstream computer vision algorithms and AI models using these visual inputs. The architecture is designed to harness the latest advancements in 3D silicon integration, making it possible to squeeze sensing and spiking circuitry, memory, and processing engines into a miniature silicon volume.",https://doi.org/10.1145/3649329.3689622,Proceedings of the 61st ACM/IEEE Design Automation Conference
NeuroMoCo: a neuromorphic momentum contrast learning method for spiking neural networks: NeuroMoCo: a neuromorphic momentum contrast learning...,10.1007/s10489-024-05982-1,2024,f,x,X4,,ACM,,"Ma, Yuqi; Wang, Huamin; Shen, Hangchi; Chen, Xuemei; Duan, Shukai; Wen, Shiping",,https://doi.org/10.1007/s10489-024-05982-1,Applied Intelligence
Broad Learning System Routing to Mitigate the Impact of Dynamic Changing Topology for 3D Flying Ad Hoc Networks,10.1007/s11036-024-02325-9,2024,f,x,X1,,ACM,"Count: 2 | Sources: ACM, Springer Link","Zhang, Hongguang; Chen, Liangqian; Ma, Shengwen; Zhang, Puyan; Zheng, Hao; Liu, Yuanan","As unmanned aerial vehicles (UAVs) achieve technological breakthroughs, it is an inevitable trend for UAV swarms to engage in increasingly larger-scale, prolonged, and collaborative missions. Nevertheless, the maneuverability of UAVs leads to highly dynamic networks. Therefore, we have to consider the practical requirements for these 3D application scenarios. To mitigate the impact of dynamic changing topology for 3D flying ad hoc networks (FANETs), we propose broad learning system routing (BLSR). As the kernel of BLSR, the broad learning system is used to choose forwarding nodes because it can better adapt to dynamic environments due to its incremental learning. On the other hand, the residual multi-hop-link lifetime (RML) as an input of the broad learning system is defined by us as the maximum duration for all multi-hop links to the base station. Worth noting that, for each UAV, the multi-hop topologies in 3D dynamic scenarios may be analogous to static topologies during the RML. Lastly, some stable-link nodes near the base station are selected as backbone networks, which are usually chosen by other UAVs to forward data packets, thus expanding the stable-link topology of the base station. Compared to four protocols, BLSR demonstrates superior performance in terms of both packet delivery rate and energy efficiency ratio.",https://doi.org/10.1007/s11036-024-02325-9,Mob. Netw. Appl.
Efficient learning in spiking neural networks,10.1016/j.neucom.2024.127962,2024,f,x,X4,SNN learning,ACM,,"Rast, Alexander; Aoun, Mario Antoine; Elia, Eleni G.; Crook, Nigel",,https://doi.org/10.1016/j.neucom.2024.127962,Neurocomput.
Robust Classification of Contraband Substances using Longwave Hyperspectral Imaging and Full Precision and Neuromorphic Convolutional Neural Networks,10.1016/j.procs.2022.11.095,2022,a,x,X4,substance threat classification,ACM,,"Park, Kyung Chae; Forest, Jeremy; Chakraborty, Sudeepto; Daly, James T.; Chelian, Suhas; Vasan, Srini",,https://doi.org/10.1016/j.procs.2022.11.095,Procedia Comput. Sci.
On-Chip Optimization and Deep Reinforcement Learning in Memristor Based Computing,10.1145/3611315.3633242,2024,f,x,X4,RL ,ACM,,"Alam, Md; Yakopcic, Chris; Taha, Tarek M","Reinforcement learning (RL) has shown its viability to learn when an agent interacts continually with the environment to optimize a policy. This work presents a memristor-based deep reinforcement learning (Mem-DRL) system for on-chip training, where the learning process takes place in a dynamic cartpole environment. Memristor device variability is taken into account to make the study more realistic. The proposed system utilized an analog ReLU module to reduce analog to digital converter usage. The analog Mem-DRL system consumed 191 times less energy than an optimized digital FP16 computing system. Our Mem-DRL system reduced the ADC usages by 40%, which led to reduced the overall system energy by 42%. Mem-DRL is 2.4 times faster than the FP16 system and performs 9.27 GOPS during DRL training. The system exhibited an energy efficiency of 23.8 TOPS/W.",https://doi.org/10.1145/3611315.3633242,Proceedings of the 18th ACM International Symposium on Nanoscale Architectures
Using improved density peak clustering algorithm for flower cluster identification and apple central and peripheral flower detection,10.1016/j.compag.2025.110095,2025,t,x,X4,,ACM,,"Geng, Mingyang; Shang, Yuying; Xiang, Shiyu; Wang, Jiachen; Wang, Lei; Song, Huaibo",,https://doi.org/10.1016/j.compag.2025.110095,Comput. Electron. Agric.
SkinDWNet: a novel deep learning model for multiclass classification of skin cancers using dermoscopic images,10.1007/s00530-025-01952-w,2025,t,x,X4,,ACM,,"Naeem, Ahmad; Malik, Hassaan; Din, Mui-zzud; Sadeghi-Niaraki, Abolghasem; Jeong, Daesik; Naqvi, Rizwan Ali","Skin cancer is recognized as one of the most hazardous types of cancer. The physical analysis for the identification of skin cancer is an exhaustive approach that cannot be easily performed by any individual with lesser skill. Therefore, an efficient classifier is needed that can help diagnose skin cancer at an early stage. The presence of noise in dermoscopic images, such as hair, air bubbles, etc., hinders the classification of skin cancer. To eliminate hair and other artifacts from dermoscopic images, this study uses several image preprocessing techniques. In this research, we proposed a novel SkinDWNet (Skin Depthwise Dilated Convolutions Network) based on deep learning for the multiclassification of skin cancer. The SkinDWNet is constructed by using depth-wise dilated convolutions (DDCs) and feature reuse residual blocks (FRBs). The DDCs and FRBs are used to extract relevant features from the dermoscopy images. Furthermore, the Gradient Boosting (GB) technique is employed to identify the prompt feature maps provided by SkinDWNet. SkinDWNet and GB together help to achieve satisfactory improvements in performance. Moreover, the SMOTE Tomek approach is employed to handle the problem of unequal class distribution in the ISIC 2019 data. To assess the performance of the SkinDWNet + GB model, the model is compared with six baseline deep learning models and state-of-the-art (SOTA) models. The SkinDWNet + GB model surpassed the baseline model&nbsp;and achieved the highest&nbsp;accuracy rate of 97.04% on the ISIC 2019 dataset for multiclass classification of skin cancer. Furthermore, ANOVA and McNemar's statistical test demonstrate that the SkinDWNet + GB model outperforms the other models. Thus, the study concludes that the proposed SkinDWNet + GB model produced significant outcomes as compared to baseline models and SOTA models.",https://doi.org/10.1007/s00530-025-01952-w,Multimedia Syst.
Deep learning framework for land cover and land use classification: five case studies with hyperspectral and RGB imagery,10.1007/s00521-025-11644-1,2025,t,x,X4,,ACM,"Count: 2 | Sources: ACM, Springer Link","Arain, Bilal; Ali, Ahmed M.; Alrashdi, Ibrahim; Sallam, Karam M.; Abdel-Basset, Mohamed","Land Cover and Land Use (LCLU) classification is critical in remote sensing, especially when analyzing hyperspectral and RGB images. LCLU classification with these image types is inherently challenging due to the limited availability of training samples. In this paper, a deep learning (DL) approach is developed to address this issue. For hyperspectral image analysis, multiple models were constructed, including 2D and 3D Convolutional Neural Networks (CNN), Long Short-Term Memory (LSTM), Gated Recurrent Units, and bidirectional LSTM models. Pre-trained CNN architectures such as VGG16, VGG19, ResNet50, ResNet50 V2, and MobileNet were employed for RGB image analysis. These models were applied to five datasets: Pavia University (PU), Kennedy Space Center (KSC), and Indian Pines (IP) for hyperspectral images, and Eurosat (ES) and UC Merced (UCM) for RGB images. The proposed models achieved high accuracy, with bidirectional LSTM reaching 99.2% accuracy on the PU dataset, 2D CNN attaining 99.6% on the KSC dataset, and 2D CNN achieving 100% on the IP dataset. For RGB image analysis, VGG16 achieved 97.81% accuracy on the ES dataset, while ResNet50 reached 98.6% on the UCM dataset. Comparative analysis with the other nine different DL models indicates that the proposed approach demonstrates superior accuracy and performance across all tested datasets.",https://doi.org/10.1007/s00521-025-11644-1,Neural Comput. Appl.
Towards crossing the reality gap with evolved plastic neurocontrollers,10.1145/3377930.3389843,2020,a,x,X1,,ACM,,"Qiu, Huanneng; Garratt, Matthew; Howard, David; Anavatti, Sreenatha","A critical issue in evolutionary robotics is the transfer of controllers learned in simulation to reality. This is especially the case for small Unmanned Aerial Vehicles (UAVs), as the platforms are highly dynamic and susceptible to breakage. Previous approaches often require simulation models with a high level of accuracy, otherwise significant errors may arise when the well-designed controller is being deployed onto the targeted platform. Here we try to overcome the transfer problem from a different perspective, by designing a spiking neurocontroller which uses synaptic plasticity to cross the reality gap via online adaptation. Through a set of experiments we show that the evolved plastic spiking controller can maintain its functionality by self-adapting to model changes that take place after evolutionary training, and consequently exhibit better performance than its non-plastic counterpart.",https://doi.org/10.1145/3377930.3389843,Proceedings of the 2020 Genetic and Evolutionary Computation Conference
Current-Mode Memristor Crossbars for Neuromorphic Computing,10.1145/3320288.3320298,2019,f,x,X4,,ACM,,"Merkel, Cory","Motivated by advantages of current-mode design, this paper explores the implementation of weight matrices in neuromemristive systems via current-mode memristor crossbar circuits. After deriving theoretical results for the range and distribution of weights in the current-mode design, it is shown that any weight matrix based on voltage-mode crossbars can be mapped to a current-mode crossbar if the voltage-mode weights are carefully bounded. Then, a modified gradient descent rule is derived for the current-mode design that can be used to perform backpropagation training. Behavioral simulations on the MNIST dataset indicate that both voltage and current-mode designs are able to achieve similar accuracy and have similar defect tolerance. However, analysis of trained weight distributions reveals that current-mode and voltage-mode designs may use different feature representations.",https://doi.org/10.1145/3320288.3320298,Proceedings of the 7th Annual Neuro-Inspired Computational Elements Workshop
A new multi-objective hyperparameter optimization algorithm for COVID-19 detection from x-ray images,10.1007/s00500-024-09872-z,2024,t,x,X4,,ACM,"Count: 2 | Sources: ACM, Springer Link","Gülmez, Burak","The coronavirus occurred in Wuhan (China) first and it was declared a global pandemic. To detect coronavirus X-ray images can be used. Convolutional neural networks (CNNs) are used commonly to detect illness from images. There can be lots of different alternative deep CNN models or architectures. To find the best architecture, hyper-parameter optimization can be used. In this study, the problem is modeled as a multi-objective optimization (MOO) problem. Objective functions are multi-class cross entropy, error ratio, and complexity of the CNN network. For the best solutions to the objective functions, multi-objective hyper-parameter optimization is made by NSGA-III, NSGA-II, R-NSGA-II, SMS-EMOA, MOEA/D, and proposed Swarm Genetic Algorithms (SGA). SGA is a swarm-based algorithm with a cross-over process. All six algorithms are run and give Pareto optimal solution sets. When the figures obtained from the algorithms are analyzed and algorithm hypervolume values are compared, SGA outperforms the NSGA-III, NSGA-II, R-NSGA-II, SMS-EMOA, and MOEA/D algorithms. It can be concluded that SGA is better than others for multi-objective hyper-parameter optimization algorithms for COVID-19 detection from X-ray images. Also, a sensitivity analysis has been made to understand the effect of the number of the parameters of CNN on model success.",https://doi.org/10.1007/s00500-024-09872-z,Soft Comput.
